Customer ID,Gender,Age,Tenure Months,Contract,Internet Service,Payment Method,Tech Support,Paperless Billing,Monthly Charges,Churn,Annual Revenue,Customer Segment
CUST-00001,Male,28,25,Month-to-month,DSL,Mailed check,No,Yes,105.61,No,1267.32,25-48 Months
CUST-00002,Female,19,16,One year,Fiber optic,Credit card,Yes,Yes,111.88,No,1342.56,13-24 Months
CUST-00003,Female,51,38,Month-to-month,Fiber optic,Electronic check,Yes,Yes,102.42,Yes,1229.04,25-48 Months
CUST-00004,Male,54,48,Month-to-month,No internet,Bank transfer,No,No,67.99,Yes,815.88,25-48 Months
CUST-00005,Male,58,19,Month-to-month,DSL,Mailed check,No,Yes,32.06,Yes,384.72,13-24 Months
CUST-00006,Female,68,56,One year,Fiber optic,Bank transfer,No,No,42.49,Yes,509.88,49-72 Months
CUST-00007,Male,44,46,Two year,DSL,Bank transfer,No,No,44.31,No,531.72,25-48 Months
CUST-00008,Female,61,12,Two year,DSL,Electronic check,No,No,70.72,Yes,848.64,7-12 Months
CUST-00009,Male,55,68,One year,DSL,Bank transfer,No,Yes,110.85,No,1330.2,49-72 Months
CUST-00010,Male,32,4,One year,DSL,Electronic check,No,Yes,110.74,No,1328.88,0-6 Months
CUST-00011,Female,62,48,One year,Fiber optic,Credit card,No,No,58.33,Yes,699.96,25-48 Months
CUST-00012,Female,20,32,Month-to-month,Fiber optic,Electronic check,No,No,20.0,Yes,240.0,25-48 Months
CUST-00013,Female,49,48,Month-to-month,Fiber optic,Bank transfer,No,No,39.32,Yes,471.84,25-48 Months
CUST-00014,Female,67,56,One year,DSL,Mailed check,No,Yes,105.28,Yes,1263.36,49-72 Months
CUST-00015,Female,52,50,One year,DSL,Bank transfer,No,Yes,78.49,No,941.88,49-72 Months
CUST-00016,Female,67,47,Month-to-month,DSL,Electronic check,No,Yes,62.04,Yes,744.48,25-48 Months
CUST-00017,Female,20,61,Two year,DSL,Bank transfer,No,Yes,60.09,No,721.08,49-72 Months
CUST-00018,Male,46,51,One year,Fiber optic,Electronic check,No,Yes,50.98,Yes,611.76,49-72 Months
CUST-00019,Female,59,59,Month-to-month,Fiber optic,Mailed check,No,No,38.29,Yes,459.48,49-72 Months
CUST-00020,Male,52,30,Month-to-month,Fiber optic,Credit card,No,No,130.02,No,1560.24,25-48 Months
CUST-00021,Female,64,15,Month-to-month,Fiber optic,Mailed check,Yes,Yes,120.12,No,1441.44,13-24 Months
CUST-00022,Male,42,17,Month-to-month,DSL,Mailed check,No,Yes,48.99,No,587.88,13-24 Months
